PHIL-PHASE1-CONFORMANCE-FREEZE-V1
entry_id	entry_kind	repository_path	sha256	expectation	competent_layer	governing_authority
P1-NEG-CALL-003-001	semantic-negative-row	test/fixtures/phase1-negative/callable-structural-mode-v1/manifest.tsv	sha256:13f301f7a1a7870a32687c3092e05f7edc652e86ec48b6966400c174303fbddf	reject:restricted-capture-must-move	callable-capture	matrix:CALL-003;certified:PHIL-CALL-MODE-001
P1-NEG-CALL-003-002	semantic-negative-row	test/fixtures/phase1-negative/callable-structural-mode-v1/manifest.tsv	sha256:13f301f7a1a7870a32687c3092e05f7edc652e86ec48b6966400c174303fbddf	reject:duplicate-restricted-capture	callable-capture	matrix:CALL-003;certified:PHIL-CALL-MODE-001
P1-NEG-CALL-007-001	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:preserve-residue-mismatch	callable-lifecycle	matrix:CALL-007;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-007-002	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:preserve-produced-successor	callable-lifecycle	matrix:CALL-007;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-008-001	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:unavailable-callable	callable-lifecycle	matrix:CALL-008;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-008-002	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:consume-produced-successor	callable-lifecycle	matrix:CALL-008;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-009-001	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:unavailable-callable	callable-lifecycle	matrix:CALL-009;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-009-002	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:replace-reused-predecessor-key	callable-lifecycle	matrix:CALL-009;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-009-003	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:replace-interface-mismatch	callable-lifecycle	matrix:CALL-009;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-009-004	semantic-negative-row	test/fixtures/phase1-negative/callable-lifecycle-v1/manifest.tsv	sha256:ecb35f00743c7faf973e849a8531d90c951ce7d4b83db7643911215b72cb3500	reject:replace-state-mismatch	callable-lifecycle	matrix:CALL-009;certified:PHIL-CALL-LIFE-001
P1-NEG-CALL-010-001	semantic-negative-row	test/fixtures/phase1-negative/callable-scope-v1/manifest.tsv	sha256:39ab8099356d107c78140b03ba1a9470a8f9015a4a73f83742b5caeac92ee3d5	reject:escaping-scoped-loan	callable-scope	matrix:CALL-010;certified:PHIL-CALL-SCOPE-001
P1-NEG-CALL-010-002	semantic-negative-row	test/fixtures/phase1-negative/callable-scope-v1/manifest.tsv	sha256:39ab8099356d107c78140b03ba1a9470a8f9015a4a73f83742b5caeac92ee3d5	reject:outside-loan-validity	callable-scope	matrix:CALL-010;certified:PHIL-CALL-SCOPE-001
P1-NEG-CALL-012-001	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:authority-too-strong	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-012-002	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:effect-bound-too-wide	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-012-003	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:failure-set-too-wide	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-012-004	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:transition-incompatible	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-012-005	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:transition-incompatible	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-012-006	semantic-negative-row	test/fixtures/phase1-negative/callable-refinement-v1/manifest.tsv	sha256:b20b796ebd6dc02c6fc7ca406d2c5cddd4f32de8f3d12180fe70e53b5766689d	reject:machine-shape-mismatch	callable-refinement	matrix:CALL-012;certified:PHIL-CALL-REFINE-001
P1-NEG-CALL-014-001	semantic-negative-row	test/fixtures/phase1-negative/callable-scope-v1/manifest.tsv	sha256:39ab8099356d107c78140b03ba1a9470a8f9015a4a73f83742b5caeac92ee3d5	reject:restricted-recursive-cycle	callable-scope	matrix:CALL-014;certified:PHIL-CALL-SCOPE-001
P1-NEG-CALL-014-002	semantic-negative-row	test/fixtures/phase1-negative/callable-scope-v1/manifest.tsv	sha256:39ab8099356d107c78140b03ba1a9470a8f9015a4a73f83742b5caeac92ee3d5	reject:restricted-recursive-cycle	callable-scope	matrix:CALL-014;certified:PHIL-CALL-SCOPE-001
